Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Berserulah Kepada-Ku!,STOCK KOSONG,978-602-8009-15-7,Jim Cymbala,244 halaman,200 gram,soft cover,HVS 70,"14,5 x 21 cm", Rp. 0,"Tidak seorang pun dijamin akan melihat apa yang bakal terjadi hari esok, seperti Rosa dan saya, serta bapak tua itu yang sangat yakin bahwa gedung ini tidak akan ambruk ... tak seorang pun tahu naasnya hari itu, tanggal 11 September. Saya kira tidak banyak yang beruntung dapat kesempatan kedua .... Allah telah menyelamatkan saya dan mendengar doa saya dari tumpukan puing dan reruntuhan gedung megah, yang tadinya bernama World Trade Center. (Genelle Guzman-Mcmillan, Bab 3)
Berserulah kepada-Ku!
Seperti Genelle yang merintih memanggil Allah dari bawah tumpukan puing baja, kita diajak melihat ”gunung yang bergeming”, kebuntuan yang menyesakkan, masalah yang membuat kita terjerembab dalam kepedihan, dari sudut pandang Allah. Semuanya berubah hanya karena satu keberanian sungguh-sungguh, yaitu berseru dalam doa dan mengambil waktu bersama Dia.
Perubahan terjadi hanya bila kita memahami sumber tenaga yang paling purba dan dinamis ini: kekuatan yang diperoleh saat kita berseru dalam doa, merespons panggilan Tuhan kepada kita. Dari kekuatan inilah mengalir perubahan-perubahan drastis dan penting dalam hidup seseorang, sekelompok umat, gereja, bahkan suatu bangsa!
Berserulah kepada-Ku! 
Memuat hal-hal penting dalam berdoa, yang selama ini sering terlupakan. Dilengkapi dengan kisah-kisah nyata yang aktual. Justru perlu dibaca pemimpin gereja, hamba Tuhan, para pelayan jemaat, serta siapa saja yang ingin mengalami pembaruan hidup melalui doa dan pengalaman menakjubkan bersama Allah.",http://www.penerbitbinakasih.com/258-buku-berserulah-kepada-ku%21-.html,http://www.penerbitbinakasih.com/images/products/product_258.jpg
Pasrah dalam Doa,Pasrah dalam Doa,978-602-1006-49-8,anonim,88 halaman,100 gram,,HVS 70,13 X 18 cm, Rp. 26.000,"DOA
sarana komunikasi dari hati ke hati
untuk menaikkan syukur dan puji
untuk memaparkan kemelut diri
untuk memohonkan kebutuhan kini
untuk menghantar kekasih
untuk membisikkan isi hati
kepada Sang Ilahi
 
DOA
menuntut keuletan, kesetiaan, kepasrahan
pada hak daulat Ilahi
dalam menolak atau memberi pinta hati insani",http://www.penerbitbinakasih.com/303-buku-pasrah-dalam-doa.html,http://www.penerbitbinakasih.com/images/products/product_303.jpg
Kematian,Bagaimana seharusnya sikap kita menyongsong kematian,979-9143-66-7,James H. Casson,92 halaman,90 gram,soft cover,HVS 70,13x18 cm, Rp. 16.000,"Buku ini ditulis oleh seorang dokter. Ia sedang di ambang pintu kematian, karena menderita penyakit kanker yang tak mungkin disembuhkan.
Pengalamannya menjelang kematian—baik menghadapi penyakit itu sendiri, bersosialisasi dengan kerabat dan sahabat, bahkan dengan Tuhan—dipaparkan dalam buku ini—sedemikian rupa—sehingga menyentuh perasaan yang paling dalam.
Membaca buku ini berarti memperlengkapi diri menghadapi penyakit dan misteri kematian. Bagaimana seharusnya orang sakit berkomunikasi dengan sesama, juga sebaliknya—bagaimana seharusnya dokter, perawat, kerabat, dan sahabat melayani orang sakit, apalagi yang sudah sekarat.",http://www.penerbitbinakasih.com/68-buku-kematian.html,http://www.penerbitbinakasih.com/images/products/product_68.jpg
Jangan Takut!,40 renungan tentang janji Tuhan dalam menghadapi malapetaka,979-9143-67-5,V. Raymond Edman,88 halaman,90 gram,soft cover,HVS 70,13x18 cm, Rp. 15.000,"Ketakutan adalah momok. Dan macam ketakutan banyak. Semuanya mengerikan. Menyeramkan. Menyerang siapa saja. Anak-anak, muda-mudi, dewasa, orang tua, bahkan orang uzur. Tapi, jangan takut! Sebab Alkitab berkata:
”Aku (Tuhan) menyertai engkau!” (Kejadian 26:24).
”Janganlah takut, berdirilah tetap dan lihatlah keselamatan dari TUHAN” (Keluaran 14:13).
”Janganlah takut, sebab Aku menyertai engkau…. Aku akan menolong engkau dengan tangan kanan-Ku yang membawa kemenangan” (Yesaya 41:10).
”Di dalam kasih tidak ada ketakutan: kasih yang sempurna melenyapkan ketakutan” (1 Yohanes 4:18)
”Tenanglah! Aku ini, jangan takut!” (Markus 6:50).
Dan jangan lupa, bahwa “Takut akan Tuhan adalah permulaan dari hikmat”.",http://www.penerbitbinakasih.com/70-buku-jangan-takut%21.html,http://www.penerbitbinakasih.com/images/products/product_70.jpg
Bebas dari 7 Dosa Maut,STOK KOSONG,978-602-8009-46-1,Billy Graham,96 halaman,90 gram,soft cover,HVS 70,13x18 cm, Rp. 26.000,"DOSA! Apakah dosa itu hanya pembunuhan? Atau mencuri misalnya?
Ataukah juga sesuatu yang lain, yang tampaknya remeh dan terlalu biasa?
Bagaimanakah kemalasan dan ”makan terlalu banyak” dapat digolongkan dalam dosa maut?
Di sekitar kita, bahkan kita sendiri—barangkali—termasuk pemalas dan sering makan
lebih dari seperlunya. Kalau demikian apakah kita sudah terlibat ke dalam perbuatan dosa maut?
Hal-hal seperti itu dikemukakan dalam buku ini. Dr. Billy Graham menguraikannya begitu rupa
sehingga ketujuh dosa maut itu dengan sengatnya menjadi jelas.
Dengan membaca buku ini kita akan terangsang untuk bertindak mengatasi dosa-dosa maut itu.",http://www.penerbitbinakasih.com/82-buku-bebas-dari-7-dosa-maut-.html,http://www.penerbitbinakasih.com/images/products/product_82.jpg
Tuhankulah Gembalaku,STOCK KOSONG,978-602-8009-80-5,Christian Jonch,168 halaman,200 gram,Soft Cover,HVS 70,"14,5 x 21 cm", Rp. 44.000,,http://www.penerbitbinakasih.com/232-buku-tuhankulah-gembalaku.html,http://www.penerbitbinakasih.com/images/products/product_232.jpg
Kala Segalanya Tidak OKE,STOCK KOSONG,978-602-8009-85-0,Rico Villanueva,228 halaman,300 gram,Soft cover,HVS 70,13 x 18 cm, Rp. 0,"Buku ini cocok bagi Anda yang ingin lebih dekat kepada Kristus dengan segala pergumulan Anda:

Terpuruk
Bersedih
Menangis
Takut
Bergumul
Marah
Mempertanyakan Allah
Gagal",http://www.penerbitbinakasih.com/238-buku-kala-segalanya-tidak-oke.html,http://www.penerbitbinakasih.com/images/products/product_238.jpg
Yang Tersisih Dipulihkan,STOCK KOSONG,978-602-8009-87-4,Dorothy Varcarcel,324 halaman,400 gram,soft cover,HVS 70,"14,5 x 21 cm", Rp. 64.000,"Mungkinkah ada Seseorang yang sanggup memenuhi kebutuhan-kebutuhan kita yang terdalam?
Dorothy mengajak kita untuk menjumpai 18 pribadi unik dalam Alkitab yang dianggap paling bermasalah. Mereka membutuhkan kasih tanpa syarat dan pertolongan dari Seseorang yang sanggup mengeluarkan mereka dari lembah kekelaman.
Mereka adalah orang-orang yang:
• Hancur hatinya, hampa, putus asa, kesepian.
• Ditolak, diabaikan, disalah mengerti.
• Penuh kekhawatiran, stres, tidak sempurna, ambisius.
• Bahkan, dianggap ’bukan manusia’.
 
Dan ketika mereka berjumpa dengan Yesus—mereka dipulihkan. Diubahkan. Bagaimana Yesus bisa membawa kehidupan baru bagi mereka?
Dorothy telah menggali banyak sumber informasi. Kisah-kisah yang luar biasa disajikan dengan begitu kreatif dan imajinatif. Pertanyaan reflektif maupun pendalaman nas Alkitab pada akhir tiap bab disusun agar dapat digunakan dalam diskusi kelompok. Semuanya disiapkan untuk menolong kita menyaksikan perjumpaan dengan Yesus yang mengubahkan.
Buku ini akan membuka hati setiap orang, laki-laki dan perempuan, untuk siap dipulihkan.",http://www.penerbitbinakasih.com/240-buku-yang-tersisih-dipulihkan.html,http://www.penerbitbinakasih.com/images/products/product_240.jpg
Firman dan Keajaiban,"Menelusuri karakter Allah, keselamatan, dan kepemimpinan dalam Kitab Keluaran",978-602-1006-29-0,David Harley,241 halaman,210 gram,Soft Cover,HVS 70,13 x 18 cm, Rp. 40.000,"Dalam buku Firman dan Keajaiban, David Harley menekankan ajaran utama pada karakter Allah, dasar keselamatan, dan intisari kepemimpinan rohani. Saat ia membuka tingkap kisah penebusan yang indah, Anda akan melihat bagaimana cermatnya Allah telah merencanakan kehidupan yang layak dan tercukupi untuk semua orang yang memandang kepada-Nya dalam iman dan ketaatan.
Dilengkapi dengan banyak contoh dan aplikasi serta bahan refleksi pribadi ataupun studi kelompok, buku ini sangat cocok untuk pendeta, penatua, mahasiswa STT, serta aktivis dan warga gereja.",http://www.penerbitbinakasih.com/294-buku-firman-dan-keajaiban.html,http://www.penerbitbinakasih.com/images/products/product_294.jpg
Iman dan Kegagalan,Menelusuri tapak tilas kehidupan Abraham,978-602-1006-28-3,David Harley,192 halaman,180 gram,Soft Cover,HVS 70,13 x 18 cm, Rp. 40.000,"Melalui buku Iman dan Kegagalan, David Harley, yang telah mempelajari dan mengajar tentang Kitab Kejadian selama belasan tahun, dengan piawai membahas kehidupan Abraham yang luar biasa. Saat ia menguraikan secara terperinci puncak dan titik nadir Abraham, ia menunjukkan bahwa kisah Abraham juga gambaran kisah hidup kita.
Buku ini menyajikan satu hal yang sangat penting bagi setiap orang percaya, yakni kegagalan pun dapat dipakai oleh Tuhan untuk menguatkan dan memperlengkapi kita dalam menunaikan panggilan dan pelayanan kita, sehingga akhirnya menjadi berkat bagi orang lain. Dilengkapi dengan banyak contoh dan aplikasi serta bahan refleksi pribadi atau pun studi kelompok, buku ini sangat cocok untuk pendeta, penatua, mahasiswa STT, serta aktivis dan warga gereja.",http://www.penerbitbinakasih.com/295-buku-iman-dan-kegagalan.html,http://www.penerbitbinakasih.com/images/products/product_295.jpg
Liku-liku Seks (jilid 1),Perihal seks untuk yang belum menikah,979-8976-60-6,Walter Trobisch,40 halaman,40 gram,soft cover,HVS 70,13x18 cm, Rp. 10.000,"Seks adalah pesona cinta kasih. Gelora seks dan pikatan cinta paling berkesan di masa remaja. Tapi seks dapat menodai bahkan menghancurkan cinta kasih. Justru cinta kasih harus dilindungi. Perlindungan itulah yang dipaparkan dalam buku ini, yang bila diikuti akan menjadikan seks dan cinta kasih itu bersama-sama tumbuh menuju kedewasaan.",http://www.penerbitbinakasih.com/63-buku-liku-liku-seks-%28jilid-1%29.html,http://www.penerbitbinakasih.com/images/products/product_63.jpg
Kawin Campur dan Campur Tangan Tuhan,Menemukan Hikmat Tuhan seputar Perkawinan Beda Agama,978-979-9143-96-9,Graham Roberts,118 halaman,140 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 34.000,,http://www.penerbitbinakasih.com/65-buku-kawin-campur-dan-campur-tangan-tuhan.html,http://www.penerbitbinakasih.com/images/products/product_65.jpg
Berbahagia Bersama Anak-anak Terkasih,"Kunci keberhasilan orang tua dalam membina keluarga sehati, mantap, dan bahagia",978-979-9143-93-8,Henry Brandt dan Kerry L. Skinner,244 halaman,280 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 35.000,"Keluarga yang harmonis dan berbahagia dambaan setiap orang! Namun, yang sering terjadi ialah pertengkaran, perang dingin, dan pemberontakan anak terhadap orang tua. Banyak orang tua mengira kebahagiaan mereka tergantung dari perilaku anak, sehingga jika perilaku anak tidak seperti yang mereka inginkan, hubungan orang tua dan anak pun rusak. Adakah jawabannya?
Justru buku ini mengajak orang tua untuk menempatkan kedudukan mereka sebagaimana mestinya. Sebagai suami-istri, bapak-ibu—satu tim yang sehati. Bersedia memberi waktu, teladan, dan kasih sayang. Membangun keyakinan yang dalam dan jiwa yang mengasihi. Memberikan rasa aman dan kasih sayang kepada anak saat mereka bertumbuh, kendati segala rintangan dan perilaku mereka tidak menyenangkan.
Dengan didasarkan pada asas-asas Alkitab, dilengkapi dengan pemahaman psikologi perkembangan dan pengalaman konseling yang riil, buku ini menjadi unik dan berbobot sehingga kehadirannya patut disyukuri.
Tepat untuk setiap orang yang rindu membangun keluarga bahagia dan mempertahankannya bahkan mewariskannya kepada generasi berikutnya.",http://www.penerbitbinakasih.com/66-buku-berbahagia-bersama-anak-anak-terkasih-.html,http://www.penerbitbinakasih.com/images/products/product_66.jpg
Perceraian dan Perkawinan Kembali,STOCK KOSONG,978-602-8009-39-3,B. Ward Powers,176 halaman,200 gram,soft cover,HVS 70,"14,5x21 cm", Rp. 0,"Studi yang meneliti apa yang Tuhan kehendaki berkait perceraian maupun perkawinan kembali. Perpaduan alkitabiah antara Hukum Allah dan Anugerah.
 
Alkitab sangat mempertahankan kesucian dan keabadian perkawinan sebagai lembaga yang diciptakan Allah bagi kebaikan manusia. Namun, banyak rumah tangga—bahkan orang Kristen sekalipun—tetap hancur akibat dosa dan kebobrokan manusia.
Jika keutuhan keluarga tak mungkin lagi dipertahankan, apakah yang harus dilakukan? Bolehkah orang Kristen bercerai? Bolehkah orang yang telah bercerai itu menikah lagi?
Dalam buku ini, Dr. Ward Powers menegaskan pandangan Alkitab—Hukum Allah—berhubungan dengan kehidupan bersama dalam perkawinan; tetapi juga memberi harapan baru bagi mereka yang perkawinannya telah tergerus oleh nilai-nilai duniawi.
Melalui penggalian Firman Tuhan secara saksama, Dr. Ward Powers sungguh mampu menjelaskan topik yang selama ini cenderung membingungkan dengan menyajikan perpaduan alkitabiah yang tepat antara Hukum Allah dan Anugerah Kristus.",http://www.penerbitbinakasih.com/222-buku-perceraian-dan-perkawinan-kembali.html,http://www.penerbitbinakasih.com/images/products/product_222.jpg
Intisari Cerita Alkitab-Perjanjian Lama,,978-979-9143-00-6,Anne de Vries,226 halaman,260 gram,soft cover,HVS 70,"14,5x21 cm", Rp. 45.000,"Buku klasik ini kaya dengan inti hikayat suci Alkitab. Dimaksudkan untuk memperkenalkan Alkitab dan amanatnya kepada anak-anak sejak dini. Pesannya sejak dulu sangat mengena dan mampu menyentuh hati para pembacanya. Penulisnya pun piawai bertutur.
Bermanfaat untuk menolong orang tua dalam mendidik, membina, dan mengarahkan anak semenjak kecil berkenalan akrab dengan Tuhan Yesus. Bahasanya sederhana dan lugas, dapat dibacakan bagi anak-anak kecil. Dengan maksud yang sama, juga sangat berguna bagi anak-anak yang sudah lancar membaca.
Kehadiran buku ini akan memperkaya iman kristiani dalam keluarga agar semakin mengenal Firman Allah dan menaati Dia.",http://www.penerbitbinakasih.com/156-buku-intisari-cerita-alkitab-perjanjian-lama.html,http://www.penerbitbinakasih.com/images/products/product_156.jpg
Intisari Cerita Alkitab-Perjanjian Baru,,978-979-8976-99-5,Anne de Vries,200 halaman,200 gram,soft cover,HVS 70,"14,5x21 cm", Rp. 40.000,"Buku klasik ini kaya dengan inti hikayat suci Alkitab. Dimaksudkan untuk memperkenalkan Alkitab dan amanatnya kepada anak-anak sejak dini. Pesannya sejak dulu sangat mengena dan mampu menyentuh hati para pembacanya. Penulisnya pun piawai bertutur.
Bermanfaat untuk menolong orang tua dalam mendidik, membina, dan mengarahkan anak semenjak kecil berkenalan akrab dengan Tuhan Yesus. Bahasanya sederhana dan lugas, dapat dibacakan bagi anak-anak kecil. Dengan maksud yang sama, juga sangat berguna bagi anak-anak yang sudah lancar membaca.
Kehadiran buku ini akan memperkaya iman kristiani dalam keluarga agar semakin mengenal Firman Allah dan menaati Dia.",http://www.penerbitbinakasih.com/157-buku-intisari-cerita-alkitab-perjanjian-baru.html,http://www.penerbitbinakasih.com/images/products/product_157.jpg
Bimo,STOCK KOSONG,979-9143-51-9,Adele Ellis,28 halaman,50 gram,soft cover,HVS 80,"14,5x21 cm", Rp. 0,"Di siang bolong, di terik matahari Bimo di sawah menjaga bebek-bebek milik Pak Kasim. Tapi Amir, sahabatnya, mengajak Bimo berenang di sungai.
Berenang berarti bermain-main sesuka hati. Tapi kalau ia pergi berenang, bagaimana dengan semua bebek yang harus dijaganya itu?
Bimo kebingungan. Ia harus membuat keputusan: meninggalkan pekerjaannya untuk bermain-main, atau setia melakukan tugasnya.
Apa keputusan Bimo? Dan apa saja akibat dari keputusannya itu?
Jawaban atas pertanyaan-pertanyaan itu membuat buku ini penting dibaca. Terutama oleh anak-anak.",http://www.penerbitbinakasih.com/163-buku-bimo.html,http://www.penerbitbinakasih.com/images/products/product_163.jpg
Cuplikan Berwarna Cerita-cerita Alkitab - edisi BARU,,978-602-8009-72-0,Kenneth Taylor,184 halaman,600 gram,special cover,HVS 80,20 x 24 cm, Rp. 130.000,"Edisi ter-BARU! 

Cuplikan Berwarna Cerita-cerita Alkitab ini merupakan adaptasi dari versi klasik yang telah diterbitkan Bina Kasih selama 40 tahun. Buku ini juga telah menjadi bacaan favorit keluarga Kristen sedunia selama lebih dari setengah abad. Sudah terjual lebih dari 1,7 juta eksemplar dalam 70 bahasa sejak diterbitkan pertama kali.

Kenneth Taylor—penulis dan penyunting—adalah pendiri dari Tyndale House Publishers. Ia dikenal dengan karyanya The Living Bible. Dr. Taylor dan istrinya, Margaret, memiliki 10 anak. Mereka tinggal di Wheaton, Illinois.",http://www.penerbitbinakasih.com/214-buku-cuplikan-berwarna-cerita-cerita-alkitab---edisi-baru.html,http://www.penerbitbinakasih.com/images/products/product_214.jpg
Merindukan Raja,Komik Alkitab,9798976797,Iva Hot,172 halaman,150 gram,soft cover,70,15 x 18 cm, Rp. 25.000,,http://www.penerbitbinakasih.com/314-buku-merindukan-raja.html,http://www.penerbitbinakasih.com/images/products/product_314.jpg
Cerita Bergambar Perjanjian Lama 1,-,978-979-9143-90-7,A. Susilaradeya dan D. Susilaradeya,36 halaman,100 gram,soft cover,HVS 80,21x28 cm, Rp. 24.000,Buku mewarnai yang dirangkai dengan kisah singkat peristiwa dalam Alkitab. 15 kisah dalam Perjanjian Lama jilid 1 berawal dari terciptanya alam semesta hingga saat Musa menurutkan Dasa Titah. Sangat tepat digunakan dalam kegiatan Sekolah Minggu.,http://www.penerbitbinakasih.com/164-buku-cerita-bergambar-perjanjian-lama-1.html,http://www.penerbitbinakasih.com/images/products/product_164.jpg
